symbol,name,market,as_of,source
002460,HS화성,유가,2026-06-12,KRX KIND
002600,조흥,유가,2026-06-12,KRX KIND
002620,제일파마홀딩스,유가,2026-06-12,KRX KIND
002630,오리엔트바이오,유가,2026-06-12,KRX KIND
002680,한탑,코스닥,2026-06-12,KRX KIND
002690,동일제강,유가,2026-06-12,KRX KIND
002700,신일전자,유가,2026-06-12,KRX KIND
002710,TCC스틸,유가,2026-06-12,KRX KIND
002720,국제약품,유가,2026-06-12,KRX KIND
002760,보락,유가,2026-06-12,KRX KIND
002780,진흥기업,유가,2026-06-12,KRX KIND
002790,아모레퍼시픽홀딩스,유가,2026-06-12,KRX KIND
002800,신신제약,코스닥,2026-06-12,KRX KIND
002810,삼영무역,유가,2026-06-12,KRX KIND
002820,SUN&L,유가,2026-06-12,KRX KIND
002840,미원상사,유가,2026-06-12,KRX KIND
002870,신풍,유가,2026-06-12,KRX KIND
002880,디와이에이,유가,2026-06-12,KRX KIND
002900,TYM,유가,2026-06-12,KRX KIND
002920,유성기업,유가,2026-06-12,KRX KIND
002960,한국쉘석유,유가,2026-06-12,KRX KIND
002990,금호건설,유가,2026-06-12,KRX KIND
003000,부광약품,유가,2026-06-12,KRX KIND
003010,혜인,유가,2026-06-12,KRX KIND
003030,세아제강지주,유가,2026-06-12,KRX KIND
003060,에이프로젠바이오로직스,유가,2026-06-12,KRX KIND
003070,코오롱글로벌,유가,2026-06-12,KRX KIND
003080,SB성보,유가,2026-06-12,KRX KIND
003090,대웅,유가,2026-06-12,KRX KIND
003100,선광,코스닥,2026-06-12,KRX KIND
003120,일성아이에스,유가,2026-06-12,KRX KIND
003160,디아이,유가,2026-06-12,KRX KIND
003200,일신방직,유가,2026-06-12,KRX KIND
003220,대원제약,유가,2026-06-12,KRX KIND
003230,삼양식품,유가,2026-06-12,KRX KIND
003240,태광산업,유가,2026-06-12,KRX KIND
003280,흥아해운,유가,2026-06-12,KRX KIND
003300,한일홀딩스,유가,2026-06-12,KRX KIND
003310,대주산업,코스닥,2026-06-12,KRX KIND
003350,한국화장품제조,유가,2026-06-12,KRX KIND
003380,하림지주,코스닥,2026-06-12,KRX KIND
003460,유화증권,유가,2026-06-12,KRX KIND
003470,유안타증권,유가,2026-06-12,KRX KIND
003480,한진중공업홀딩스,유가,2026-06-12,KRX KIND
003490,대한항공,유가,2026-06-12,KRX KIND
003520,영진약품,유가,2026-06-12,KRX KIND
003530,한화투자증권,유가,2026-06-12,KRX KIND
003540,대신증권,유가,2026-06-12,KRX KIND
003550,LG,유가,2026-06-12,KRX KIND
003570,SNT다이내믹스,유가,2026-06-12,KRX KIND
003580,HLB글로벌,유가,2026-06-12,KRX KIND
003610,방림,유가,2026-06-12,KRX KIND
003620,KG모빌리티,유가,2026-06-12,KRX KIND
003650,미창석유공업,유가,2026-06-12,KRX KIND
003670,포스코퓨처엠,유가,2026-06-12,KRX KIND
003680,한성기업,유가,2026-06-12,KRX KIND
003690,코리안리,유가,2026-06-12,KRX KIND
003720,삼영,유가,2026-06-12,KRX KIND
003780,진양산업,유가,2026-06-12,KRX KIND
003800,에이스침대,코스닥,2026-06-12,KRX KIND
003830,대한화섬,유가,2026-06-12,KRX KIND
003850,보령,유가,2026-06-12,KRX KIND
003920,남양유업,유가,2026-06-12,KRX KIND
003960,사조대림,유가,2026-06-12,KRX KIND
004000,롯데정밀화학,유가,2026-06-12,KRX KIND
004020,현대제철,유가,2026-06-12,KRX KIND
004060,SG세계물산,유가,2026-06-12,KRX KIND
004080,신흥,유가,2026-06-12,KRX KIND
004090,한국석유공업,유가,2026-06-12,KRX KIND
004100,태양금속공업,유가,2026-06-12,KRX KIND
004140,동방,유가,2026-06-12,KRX KIND
004150,한솔홀딩스,유가,2026-06-12,KRX KIND
004170,신세계,유가,2026-06-12,KRX KIND
004250,엔피씨,유가,2026-06-12,KRX KIND
004270,남성,유가,2026-06-12,KRX KIND
004310,현대약품,유가,2026-06-12,KRX KIND
004360,세방,유가,2026-06-12,KRX KIND
004370,농심,유가,2026-06-12,KRX KIND
004380,삼익THK,유가,2026-06-12,KRX KIND
004410,서울식품공업,유가,2026-06-12,KRX KIND
004430,송원산업,유가,2026-06-12,KRX KIND
004440,삼일씨엔에스,유가,2026-06-12,KRX KIND
004450,삼화왕관,유가,2026-06-12,KRX KIND
004490,세방전지,유가,2026-06-12,KRX KIND
004540,깨끗한나라,유가,2026-06-12,KRX KIND
004560,현대비앤지스틸,유가,2026-06-12,KRX KIND
004590,한국가구,코스닥,2026-06-12,KRX KIND
004650,창해에탄올,코스닥,2026-06-12,KRX KIND
004690,삼천리,유가,2026-06-12,KRX KIND
004700,조광피혁,유가,2026-06-12,KRX KIND
004710,한솔테크닉스,유가,2026-06-12,KRX KIND
